query_id,AP_vector,AP_bm25,AP_diff (bm25 - vector),abs_diff
157,0.2342214003683221,0.19489164757302138,-0.03932975279530071,0.03932975279530071
217,0.13923831875507556,0.17740232043332585,0.03816400167825029,0.03816400167825029
129,0.31461099318242164,0.3524111890192234,0.037800195836801775,0.037800195836801775
201,0.2769813704647564,0.3144117259301397,0.037430355465383314,0.037430355465383314
158,0.22564017217860038,0.18841150351610822,-0.037228668662492165,0.037228668662492165
80,0.053819808566798875,0.017347628043816215,-0.036472180522982664,0.036472180522982664
220,0.1692101139786382,0.20540720099123239,0.03619708701259419,0.03619708701259419
137,0.23829365079365078,0.20246175393234217,-0.03583189686130861,0.03583189686130861
1,0.22179184681438693,0.1861668996958119,-0.03562494711857503,0.03562494711857503
150,0.41666666666666663,0.45,0.03333333333333338,0.03333333333333338
140,0.13960352011765462,0.17273994846270602,0.0331364283450514,0.0331364283450514
94,0.4920954298494909,0.45906222985458106,-0.033033199994909834,0.033033199994909834
53,0.2309338724206039,0.2632218931569249,0.032288020736321005,0.032288020736321005
46,0.2677534708969544,0.29989054047399916,0.03213706957704476,0.03213706957704476
8,0.21249745561365552,0.18153497427506393,-0.030962481338591585,0.030962481338591585
12,0.10210589880498347,0.13306724534346018,0.03096134653847671,0.03096134653847671
221,0.20311383683035647,0.23298616873716751,0.029872331906811045,0.029872331906811045
138,0.10250000000000001,0.13225806451612904,0.02975806451612903,0.02975806451612903
57,0.08850162686392635,0.05986266757783072,-0.028638959286095625,0.028638959286095625
33,0.3277777777777778,0.29914529914529914,-0.028632478632478642,0.028632478632478642
34,0.28719336219336217,0.26023246905599845,-0.026960893137363717,0.026960893137363717
50,0.07600078574743598,0.10230808832266051,0.02630730257522454,0.02630730257522454
107,0.2644332519332519,0.2906065609267579,0.026173308993506006,0.026173308993506006
20,0.49457549457549455,0.5198762608615858,0.025300766286091236,0.025300766286091236
203,0.09723840104600702,0.12223451350841334,0.024996112462406322,0.024996112462406322
166,0.023776622959833096,0.048771377203992744,0.02499475424415965,0.02499475424415965
189,0.07024122627965086,0.0948757349912154,0.024634508711564543,0.024634508711564543
212,0.4673204749870759,0.491812455616799,0.024491980629723076,0.024491980629723076
76,0.34998468845328107,0.37363888501458675,0.023654196561305685,0.023654196561305685
58,0.10826176056603581,0.08509407448786255,-0.023167686078173266,0.023167686078173266
26,0.21581578144078142,0.23838229001272473,0.02256650857194331,0.02256650857194331
62,0.056478537080025294,0.033946901200947635,-0.02253163587907766,0.02253163587907766
177,0.7476190476190475,0.7251948051948053,-0.022424242424242236,0.022424242424242236
4,0.55,0.5285714285714286,-0.021428571428571463,0.021428571428571463
63,0.041308243727598566,0.06249335459861775,0.02118511087101918,0.02118511087101918
108,0.7428880643166356,0.7640288283145426,0.021140763997906986,0.021140763997906986
213,0.5655586188029814,0.5863342030169472,0.020775584213965748,0.020775584213965748
105,0.424003554201574,0.44466666666666665,0.02066311246509267,0.02066311246509267
159,0.10212573262552897,0.08197125746259222,-0.020154475162936752,0.020154475162936752
156,0.5450722158925748,0.5650111864086073,0.01993897051603244,0.01993897051603244
11,0.16078443956198832,0.18044469574155858,0.019660256179570262,0.019660256179570262
45,0.1617411102119969,0.18072961452670164,0.018988504314704724,0.018988504314704724
126,0.20742851221226916,0.22462714487434227,0.01719863266207311,0.01719863266207311
100,0.213964982176189,0.23101600761119942,0.017051025435010414,0.017051025435010414
27,0.06246318418510402,0.07949780827139317,0.017034624086289155,0.017034624086289155
142,0.06666666666666667,0.08333333333333333,0.016666666666666663,0.016666666666666663
